v_gene,d_gene,j_gene,cdr3_length,v_5p_del,v_3p_del,d_5p_del,d_3p_del,j_5p_del,j_3p_del,vd_insertion,dj_insertion,count
IGHV3-64*04,IGHD3-9*01,IGHJ4*02_F,57,221,0,3,7,7,0,9,6,1
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,221,1,1,14,5,0,7,12,1
IGHV3-NL1*01,IGHD6-13*01,IGHJ3*02_F,57,221,0,3,2,2,0,10,3,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,221,0,7,9,8,0,16,6,1
IGHV3-64*04,IGHD2-21*02,IGHJ4*02_F,57,221,0,5,0,7,0,13,0,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,45,209,5,10,6,5,0,10,2,2
IGHV3-33*06,IGHD3-10*01,IGHJ6*02_F,66,230,0,7,6,11,0,10,6,1
IGHV3-23*04,IGHD5-24*01,IGHJ5*02_F,57,221,2,6,0,0,0,0,14,1
IGHV3-h*02,IGHD4-23*01,IGHJ4*02_F,45,206,0,4,0,7,0,8,1,2
IGHV3-23*04,IGHD1-26*01,IGHJ6*03_F,57,221,1,1,5,5,0,5,1,1
IGHV3-64*04,IGHD3-3*02,IGHJ6*03_F,75,239,0,3,11,0,0,11,4,2
IGHV1/OR15-3*02,IGHD3-10*01,IGHJ6*02_F,72,236,1,2,9,5,0,9,6,1
IGHV3-64*04,IGHD3-9*01,IGHJ2*01_F,57,221,0,7,6,5,0,1,10,28
IGHV3-23*04,IGHD2-2*03,IGHJ4*02_F,57,221,0,1,4,3,0,4,2,2
IGHV3-h*01,IGHD2-15*01,IGHJ4*02_F,45,206,1,6,9,7,0,9,0,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ4*03_F,57,221,4,5,3,5,0,9,6,1
IGHV3-30*05,IGHD2-15*01,IGHJ4*02_F,57,221,5,1,12,5,0,21,0,1
IGHV3-33*05,IGHD6-19*01,IGHJ4*02_F,57,221,1,4,0,0,0,5,8,1
IGHV3-33*06,IGHD2-15*01,IGHJ4*02_F,57,221,2,1,3,7,0,3,8,1
IGHV3-h*02,IGHD3-10*01,IGHJ4*02_F,36,197,0,8,12,5,0,0,2,1
IGHV3-11*01,IGHD1-26*01,IGHJ4*02_F,45,209,5,0,5,0,0,7,0,1
IGHV3-11*04,IGHD6-19*01,IGHJ4*02_F,45,209,1,0,1,2,0,0,0,1
IGHV3-23*04,IGHD2-15*01,IGHJ6*03_F,57,221,2,1,6,16,0,3,5,49
IGHV3-23*04,IGHD2-15*01,IGHJ4*02_F,66,230,0,0,2,0,0,3,6,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,221,0,0,10,3,0,8,3,1
IGHV3-23*04,IGHD4-23*01,IGHJ6*03_F,57,221,0,1,7,1,0,4,0,4
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,0,10,9,0,0,12,5,1
IGHV3-64*04,IGHD3/OR15-3b*01,IGHJ4*02_F,57,221,2,4,10,0,0,4,10,1
IGHV3-23*02,IGHD5-24*01,IGHJ4*02_F,33,197,0,7,4,7,0,3,0,1
IGHV3-33*05,IGHD3-22*01,IGHJ3*02_F,57,221,0,3,8,1,0,6,2,1
IGHV3-74*03,IGHD2-2*03,IGHJ4*02_F,36,200,0,7,10,8,0,0,2,2
IGHV4/OR15-8*03,IGHD3-10*01,IGHJ3*02_F,57,221,0,1,15,1,0,13,0,1
IGHV3-NL1*01,IGHD1-26*01,IGHJ6*02_F,57,221,0,5,0,4,0,2,1,1
IGHV3-66*03,IGHD1-26*01,IGHJ3*02_F,57,218,0,0,7,4,0,9,9,2
IGHV3-53*02,IGHD3-16*02,IGHJ4*02_F,57,218,0,20,6,0,0,15,5,1
IGHV3-23*04,IGHD3-10*01,IGHJ5*02_F,57,221,0,0,11,6,0,12,0,2
IGHV3-64*04,IGHD6-13*01,IGHJ6*03_F,57,221,2,10,3,1,0,9,0,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,221,0,2,7,4,0,2,9,1
IGHV3-64*04,IGHD1-26*01,IGHJ6*02_F,57,221,2,2,2,7,0,0,7,1
IGHV3-64*04,IGHD3-22*01,IGHJ5*02_F,57,221,1,14,5,0,0,15,0,1
IGHV3-h*01,IGHD2-2*03,IGHJ5*02_F,36,197,3,14,2,13,0,6,0,1
IGHV3-33*05,IGHD6-19*01,IGHJ1*01_F,57,221,1,3,1,12,0,8,13,1
IGHV4-61*08,IGHD3/OR15-3b*01,IGHJ4*02_F,69,236,1,1,6,0,0,8,10,14
IGHV3-23*04,IGHD2-2*03,IGHJ4*02_F,57,221,3,4,6,1,0,6,6,1
IGHV3-66*03,IGHD2-2*03,IGHJ4*02_F,57,218,0,6,6,11,0,5,16,2
IGHV3-h*02,IGHD3-22*01,IGHJ3*02_F,66,227,0,10,0,0,0,7,8,1
IGHV1-69*13,IGHD2-15*01,IGHJ5*02_F,60,224,0,6,0,3,0,0,7,1
IGHV3-NL1*01,IGHD1-26*01,IGHJ6*03_F,57,221,0,5,1,6,0,5,1,1
IGHV3-23*04,IGHD3-10*01,IGHJ2*01_F,57,221,2,6,7,5,0,1,12,1
IGHV3-33*06,IGHD6-13*01,IGHJ6*02_F,57,221,0,7,2,6,0,1,7,3
IGHV3-43*02,IGHD6-13*01,IGHJ1*01_F,45,209,3,11,0,0,0,3,1,1
IGHV4-61*06,IGHD3-22*01,IGHJ4*02_F,45,140,6,15,8,5,0,15,5,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,221,0,6,12,0,0,9,7,1
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,221,0,4,11,0,0,13,0,1
IGHV4-4*07,IGHD3-3*02,IGHJ4*02_F,45,206,0,14,9,5,0,14,0,1
IGHV3-72*01,IGHD3-22*01,IGHJ2*01_F,57,227,1,10,7,0,0,5,6,2
IGHV3-NL1*01,IGHD3-16*02,IGHJ4*02_F,57,221,1,0,13,0,0,4,2,2
IGHV3-23*04,IGHD5-12*01,IGHJ6*03_F,57,221,1,0,10,1,0,3,0,1
IGHV3-NL1*01,IGHD5-5*01,IGHJ1*01_F,57,221,0,5,1,2,0,13,0,1
IGHV3-30*15,IGHD6-6*01,IGHJ4*02_F,57,221,4,6,0,1,0,8,14,1
IGHV3-33*06,IGHD6-13*01,IGHJ6*02_F,57,221,1,7,6,1,0,8,0,1
IGHV3-23*04,IGHD6-19*01,IGHJ4*02_F,57,221,1,5,0,3,0,10,7,13
IGHV3-64*04,IGHD2-21*01,IGHJ5*02_F,57,221,2,1,2,17,0,9,11,2
IGHV3-66*03,IGHD3-10*01,IGHJ5*02_F,57,218,1,9,4,7,0,7,9,1
IGHV3-h*02,IGHD3-10*01,IGHJ4*02_F,45,206,1,6,11,5,0,4,5,1
IGHV3-71*01,IGHD3-10*01,IGHJ3*02_F,57,227,2,2,6,0,0,6,0,1
IGHV3-64*04,IGHD2-2*03,IGHJ6*03_F,57,221,0,16,3,5,0,6,1,1
IGHV3-23*04,IGHD1-26*01,IGHJ1*01_F,45,209,6,2,3,3,0,1,6,1
IGHV3-23*04,IGHD3-9*01,IGHJ4*02_F,57,221,0,2,9,5,0,14,0,1
IGHV3-64*04,IGHD2-2*02,IGHJ5*02_F,57,221,0,7,2,2,0,6,0,1
IGHV3-23*04,IGHD3-16*02,IGHJ4*02_F,57,221,1,4,12,0,0,5,4,3
IGHV1/OR15-4*01,IGHD6-19*01,IGHJ4*02_F,48,212,1,7,2,6,0,12,5,1
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,221,0,3,5,0,0,6,0,2
IGHV3-66*03,IGHD2-2*02,IGHJ5*02_F,57,218,2,0,6,2,0,2,3,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ1*01_F,57,221,7,8,1,1,0,20,1,1
IGHV3-23*04,IGHD3-22*01,IGHJ6*02_F,57,221,0,1,14,12,0,6,4,1
IGHV1-46*02,IGHD5/OR15-5b*01,IGHJ6*02_F,42,207,0,11,4,15,0,5,1,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ1*01_F,57,221,2,0,3,0,0,6,3,1
IGHV3-66*03,IGHD3-9*01,IGHJ6*02_F,45,206,2,5,15,12,0,5,0,1
IGHV3-23*04,IGHD5-5*01,IGHJ4*02_F,45,209,1,6,4,2,0,3,7,1
IGHV3-49*05,IGHD2-15*01,IGHJ4*02_F,57,227,0,0,5,8,0,3,8,1
IGHV3-53*02,IGHD3-10*01,IGHJ4*02_F,57,218,0,0,13,5,0,11,7,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ6*03_F,75,239,1,10,7,5,0,14,10,2
IGHV3-64*04,IGHD3-10*01,IGHJ6*02_F,57,221,0,0,8,12,0,3,0,1
IGHV3-33*05,IGHD2-15*01,IGHJ6*02_F,57,221,1,12,2,9,0,0,7,1
IGHV1-69*13,IGHD6-6*01,IGHJ6*03_F,45,209,4,8,3,2,0,1,0,1
IGHV3-23*04,IGHD4-17*01,IGHJ5*02_F,57,221,0,4,0,0,0,7,7,1
IGHV3-64*04,IGHD2-2*03,IGHJ3*02_F,57,221,0,10,6,0,0,7,5,1
IGHV3-66*03,IGHD3-22*01,IGHJ4*02_F,57,218,0,4,9,0,0,0,11,2
IGHV3-NL1*01,IGHD6-19*01,IGHJ4*02_F,57,221,0,1,3,1,0,3,10,1
IGHV3-23*04,IGHD3-9*01,IGHJ4*02_F,57,221,2,8,5,7,0,11,9,1
IGHV1-69*13,IGHD6-19*01,IGHJ4*02_F,39,203,0,6,7,1,0,4,0,1
IGHV4/OR15-8*03,IGHD6-19*01,IGHJ4*02_F,45,209,0,3,3,2,0,4,0,1
IGHV3-23*04,IGHD3-22*01,IGHJ3*02_F,57,221,1,0,6,0,0,3,0,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ6*02_F,57,221,0,5,12,0,0,0,0,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,0,0,3,6,0,1,6,2
IGHV3-64*04,IGHD6-13*01,IGHJ4*02_F,57,221,0,1,5,2,0,8,8,1
IGHV3-64*04,IGHD6-19*01,IGHJ5*02_F,57,221,0,3,3,0,0,4,7,1
IGHV3-NL1*01,IGHD3-22*01,IGHJ3*02_F,57,221,4,11,0,1,0,9,3,2
IGHV4-30-4*06,IGHD3-10*02,IGHJ4*02_F,39,134,3,13,8,1,0,5,1,1
IGHV3-NL1*01,IGHD5-24*01,IGHJ4*02_F,57,221,9,3,1,6,0,9,19,1
IGHV3-64*04,IGHD3-9*01,IGHJ6*02_F,57,221,1,0,12,5,0,1,0,1
IGHV3-64*04,IGHD2-15*01,IGHJ4*02_F,57,221,0,1,3,8,0,4,6,1
IGHV3-64*04,IGHD1-26*01,IGHJ6*02_F,57,221,1,6,1,7,0,1,8,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ6*03_F,57,221,0,10,4,5,0,2,0,1
IGHV3-23*04,IGHD4-23*01,IGHJ3*02_F,57,221,1,7,0,1,0,4,13,1
IGHV4-61*08,IGHD3-16*02,IGHJ5*02_F,57,224,0,14,7,5,0,13,2,1
IGHV3-33*05,IGHD3-9*01,IGHJ4*02_F,57,221,0,2,10,1,0,11,0,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ5*02_F,57,221,1,3,1,7,0,1,6,3
IGHV3-23*04,IGHD3-9*01,IGHJ4*02_F,57,221,2,10,5,1,0,13,3,1
IGHV3-53*01,IGHD6-13*01,IGHJ6*02_F,57,218,1,4,2,9,0,9,0,2
IGHV3-66*01,IGHD3-10*01,IGHJ4*02_F,57,218,0,0,12,2,0,0,12,1
IGHV3-23*04,IGHD6-13*01,IGHJ6*02_F,57,221,0,4,3,2,0,2,0,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ4*02_F,57,221,0,0,3,2,0,13,0,1
IGHV3-15*07,IGHD3-10*01,IGHJ6*01_F,57,227,0,7,5,15,0,4,6,1
IGHV3-64*04,IGHD6-13*01,IGHJ5*02_F,57,221,0,1,3,1,0,8,2,1
IGHV3-33*05,IGHD3-9*01,IGHJ6*02_F,57,221,1,13,5,0,0,2,0,1
IGHV3-NL1*01,IGHD3-16*02,IGHJ6*03_F,57,221,1,13,10,9,0,7,3,5
IGHV3-23*04,IGHD3-16*02,IGHJ4*02_F,57,221,4,3,5,3,0,7,0,1
IGHV3-23*04,IGHD2/OR15-2b*01,IGHJ6*02_F,57,221,2,10,8,8,0,11,0,1
IGHV3-30*15,IGHD2-8*01,IGHJ1*01_F,57,221,0,9,5,4,0,9,3,1
IGHV3-h*02,IGHD3-3*02,IGHJ5*02_F,75,236,0,6,6,2,0,24,3,1
IGHV3-23*04,IGHD2-21*01,IGHJ6*04_F,57,220,0,1,9,9,3,7,0,1
IGHV3-64*04,IGHD5-5*01,IGHJ6*03_F,57,221,2,4,2,6,0,7,1,1
IGHV3-NL1*01,IGHD5-24*01,IGHJ4*02_F,57,221,1,1,3,3,0,5,12,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,1,0,8,1,0,8,0,1
IGHV3-23*04,IGHD6-6*01,IGHJ5*02_F,57,221,1,6,0,4,0,8,11,1
IGHV3-33*06,IGHD3-3*01,IGHJ3*02_F,57,221,0,3,10,1,0,7,3,1
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,221,1,3,5,7,0,7,7,1
IGHV3-23*04,IGHD2/OR15-2b*01,IGHJ4*02_F,57,221,1,2,6,4,0,6,5,1
IGHV4-34*13,IGHD3-10*01,IGHJ4*02_F,69,158,0,1,6,0,0,3,14,1
IGHV3-64*02,IGHD2/OR15-2b*01,IGHJ6*02_F,57,221,0,2,14,8,0,4,3,1
IGHV3-33*06,IGHD5-24*01,IGHJ6*02_F,57,221,0,3,4,4,0,1,4,1
IGHV3-23*04,IGHD2-21*01,IGHJ4*02_F,57,221,0,4,9,2,0,0,16,1
IGHV3-66*03,IGHD6-19*01,IGHJ4*02_F,57,218,0,6,0,4,0,7,11,2
IGHV1-8*91,IGHD6-19*01,IGHJ5*02_F,45,209,0,8,4,0,0,2,3,1
IGHV3-64*04,IGHD2-15*01,IGHJ5*02_F,57,221,1,2,5,3,0,0,6,1
IGHV3-23*04,IGHD6-19*01,IGHJ4*02_F,57,221,1,2,0,1,0,10,2,1
IGHV3-NL1*01,IGHD2-8*02,IGHJ6*03_F,57,221,0,8,13,7,0,5,6,1
IGHV3-30*15,IGHD4-17*01,IGHJ3*02_F,57,221,0,3,0,1,0,15,0,6
IGHV4-b*02,IGHD4-17*01,IGHJ3*02_F,48,212,2,1,1,0,0,8,0,1
IGHV3-64*04,IGHD2/OR15-2b*01,IGHJ3*02_F,57,221,1,1,16,0,0,2,12,1
IGHV3-30*13,IGHD2-21*01,IGHJ4*02_F,57,221,1,1,1,5,0,2,7,1
IGHV3-23*04,IGHD2-8*02,IGHJ4*02_F,57,221,0,5,1,5,0,2,7,11
IGHV3-NL1*01,IGHD6-19*01,IGHJ4*02_F,57,221,0,7,0,6,0,13,8,1
IGHV3-23*04,IGHD6-19*01,IGHJ4*02_F,57,221,1,0,4,1,0,14,0,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ6*02_F,57,221,2,6,3,15,0,5,14,1
IGHV3-64*04,IGHD3-10*01,IGHJ6*02_F,57,221,1,6,9,8,0,7,0,1
IGHV4-30-4*06,IGHD5-5*01,IGHJ2*01_F,39,134,2,4,4,4,0,0,0,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ4*02_F,57,221,6,0,3,6,0,16,7,1
IGHV3-43*91,IGHD5-12*01,IGHJ6*02_F,66,230,0,0,9,5,0,12,0,1
IGHV3-53*01,IGHD6-13*01,IGHJ4*02_F,57,218,0,0,1,2,0,0,11,1
IGHV3-NL1*01,IGHD2-15*01,IGHJ3*02_F,57,221,0,0,6,4,0,2,4,1
IGHV3-49*05,IGHD5-5*01,IGHJ4*02_F,45,214,1,3,2,2,1,0,5,1
IGHV3-NL1*01,IGHD3-16*02,IGHJ4*02_F,45,209,1,10,4,5,0,0,0,1
IGHV3-53*01,IGHD1-7*01,IGHJ5*02_F,57,218,0,2,2,2,0,13,2,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ6*02_F,57,221,0,5,7,14,0,9,0,1
IGHV3-53*03,IGHD3-10*01,IGHJ4*02_F,57,218,1,0,6,7,0,7,5,1
IGHV3-23*04,IGHD3-10*01,IGHJ1*01_F,57,221,0,5,9,9,0,17,0,1
IGHV3-64*04,IGHD6-13*01,IGHJ4*02_F,57,221,2,0,0,1,0,6,5,1
IGHV3-NL1*01,IGHD2-8*01,IGHJ4*02_F,57,221,7,0,7,7,0,10,9,2
IGHV3-23*04,IGHD1-14*01,IGHJ3*01_F,57,221,1,0,0,2,0,13,0,1
IGHV3-49*05,IGHD6-13*01,IGHJ4*03_F,57,227,0,0,0,4,0,4,8,1
IGHV3-30*05,IGHD2-2*03,IGHJ4*02_F,57,221,1,5,3,2,0,3,6,1
IGHV3-h*02,IGHD3-3*02,IGHJ6*03_F,45,206,0,9,8,12,0,0,0,1
IGHV3-23*04,IGHD3-10*02,IGHJ5*02_F,57,221,0,7,8,2,0,5,8,1
IGHV3-23*04,IGHD4-17*01,IGHJ4*02_F,57,221,0,1,1,4,0,6,13,1
IGHV3-64*04,IGHD5-24*01,IGHJ3*01_F,57,221,0,3,2,1,0,12,1,1
IGHV4-61*08,IGHD6-19*01,IGHJ4*02_F,45,212,1,2,6,6,0,4,7,1
IGHV3-NL1*01,IGHD1-26*01,IGHJ6*04_F,57,221,0,4,0,6,0,0,4,1
IGHV3-53*04,IGHD2-8*02,IGHJ6*03_F,57,218,0,12,6,5,0,0,6,1
IGHV3-33*06,IGHD3-3*01,IGHJ3*02_F,57,221,3,4,10,1,0,5,9,1
IGHV3-NL1*01,IGHD3-9*01,IGHJ4*02_F,57,221,0,7,2,0,0,4,3,3
IGHV3-33*06,IGHD4/OR15-4b*01,IGHJ4*02_F,57,221,3,0,11,2,0,18,8,1
IGHV3-h*01,IGHD6-19*01,IGHJ4*02_F,36,197,1,8,3,7,0,6,0,1
IGHV3-23*04,IGHD3/OR15-3b*01,IGHJ1*01_F,57,221,3,17,6,1,0,11,10,12
IGHV3-23*04,IGHD4-23*01,IGHJ4*02_F,36,200,2,4,4,4,0,3,0,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ5*02_F,57,221,0,6,3,0,0,4,0,1
IGHV3-33*02,IGHD6-19*01,IGHJ3*02_F,66,230,2,3,3,4,0,6,21,1
IGHV1/OR15-3*03,IGHD3-22*01,IGHJ3*01_F,57,221,2,13,0,1,0,14,0,1
IGHV3-NL1*01,IGHD5/OR15-5b*01,IGHJ6*03_F,57,221,0,15,0,1,0,6,1,1
IGHV3-73*02,IGHD4-23*01,IGHJ4*02_F,57,227,0,3,1,1,0,15,0,1
IGHV3-33*05,IGHD3-22*01,IGHJ4*02_F,57,221,0,0,10,8,0,3,13,1
IGHV3-64*04,IGHD6-13*01,IGHJ6*03_F,57,221,0,9,3,1,0,5,1,1
IGHV3-23*04,IGHD6-19*01,IGHJ5*02_F,57,221,0,1,4,0,0,7,3,2
IGHV1-18*01,IGHD3-10*01,IGHJ4*02_F,51,215,1,7,6,7,0,8,5,1
IGHV3-NL1*01,IGHD1-26*01,IGHJ4*02_F,45,209,0,1,0,4,0,2,0,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ6*03_F,57,221,1,4,15,1,0,4,0,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,221,1,0,8,4,0,7,4,2
IGHV3-53*01,IGHD2-2*03,IGHJ3*02_F,57,218,0,0,3,4,0,0,3,1
IGHV3-64*91,IGHD6-19*01,IGHJ1*01_F,57,221,0,0,1,1,0,5,1,1
IGHV3-53*04,IGHD3-22*01,IGHJ4*02_F,57,218,0,10,8,4,0,13,7,1
IGHV3-h*01,IGHD3-10*02,IGHJ6*04_F,39,199,1,12,12,9,1,0,0,1
IGHV3-23*04,IGHD6-6*01,IGHJ5*02_F,57,221,0,0,0,8,0,1,15,1
IGHV4-30-4*06,IGHD3-9*01,IGHJ5*02_F,57,152,3,2,1,9,0,5,5,1
IGHV1-18*01,IGHD6-19*01,IGHJ1*01_F,42,206,4,7,6,8,1,15,0,1
IGHV3-64*04,IGHD6-19*01,IGHJ4*02_F,57,221,0,7,0,5,0,15,5,1
IGHV3-h*01,IGHD3-9*01,IGHJ5*02_F,66,227,0,1,8,1,0,4,10,1
IGHV3-64*91,IGHD5-24*01,IGHJ4*02_F,57,221,9,3,1,4,0,9,17,1
IGHV3-23*04,IGHD6-13*01,IGHJ4*02_F,57,221,5,2,6,8,0,7,22,2
IGHV3-66*01,IGHD3-10*01,IGHJ4*02_F,57,218,1,4,5,0,0,1,7,1
IGHV3-64*04,IGHD5-24*01,IGHJ4*02_F,57,221,1,3,0,5,0,6,12,2
IGHV3-23*04,IGHD5-12*01,IGHJ4*02_F,45,209,1,3,1,1,0,0,0,1
IGHV3-64*04,IGHD1-26*01,IGHJ6*02_F,57,221,0,6,3,4,0,6,1,1
IGHV3-NL1*01,IGHD3-9*01,IGHJ4*02_F,57,221,1,1,10,7,0,8,9,1
IGHV3-64*04,IGHD3-16*02,IGHJ4*02_F,57,221,1,8,7,4,0,6,6,1
IGHV3-64*04,IGHD3-22*01,IGHJ3*02_F,57,221,2,0,7,2,0,2,5,1
IGHV3-66*01,IGHD3-10*01,IGHJ6*02_F,57,218,0,9,14,0,0,0,6,1
IGHV3-NL1*01,IGHD5-5*01,IGHJ6*02_F,57,221,0,6,2,0,0,2,0,1
IGHV3-64*04,IGHD2-2*03,IGHJ6*02_F,57,221,0,12,6,6,0,2,5,1
IGHV3-NL1*01,IGHD6-6*01,IGHJ6*03_F,57,221,0,3,1,14,0,6,8,2
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,221,0,0,6,7,0,6,5,1
IGHV3-33*06,IGHD6-25*01,IGHJ6*03_F,57,221,2,2,5,1,0,2,4,1
IGHV3-23*04,IGHD6-19*01,IGHJ4*02_F,57,221,0,3,0,0,0,0,11,2
IGHV3-NL1*01,IGHD3-22*01,IGHJ4*02_F,57,221,1,2,10,7,0,6,12,1
IGHV3-23*04,IGHD6-19*01,IGHJ6*02_F,57,221,1,3,7,12,0,14,2,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ6*03_F,57,221,0,2,14,7,0,1,5,1
IGHV3-7*03,IGHD3-10*02,IGHJ6*03_F,66,230,0,15,5,0,0,13,0,1
IGHV3-23*04,IGHD5-5*01,IGHJ4*02_F,57,221,0,2,2,0,0,13,0,1
IGHV4-61*03,IGHD5-5*01,IGHJ3*02_F,42,209,1,2,6,1,0,2,0,1
IGHV1-69*13,IGHD2-21*02,IGHJ5*02_F,45,209,0,8,11,4,0,9,0,1
IGHV3-NL1*01,IGHD3-9*01,IGHJ3*02_F,57,221,1,1,10,1,0,5,4,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,4,4,5,0,0,11,0,12
IGHV3-53*04,IGHD2-2*03,IGHJ4*02_F,57,218,4,4,4,6,0,4,12,1
IGHV4-61*02,IGHD5-5*01,IGHJ4*02_F,45,212,0,5,2,0,0,4,0,1
IGHV3-h*02,IGHD3-22*01,IGHJ4*02_F,45,206,0,2,17,6,0,5,6,1
IGHV3-23*04,IGHD3-16*02,IGHJ4*02_F,57,221,1,2,16,0,0,5,6,1
IGHV3-NL1*01,IGHD5-5*01,IGHJ6*03_F,57,221,0,0,3,10,0,7,0,2
IGHV3-NL1*01,IGHD3-22*01,IGHJ4*02_F,57,221,1,7,0,6,0,5,7,1
IGHV3-h*01,IGHD3-10*02,IGHJ6*02_F,66,227,0,11,9,7,0,20,0,2
IGHV1-69*13,IGHD5-24*01,IGHJ4*02_F,45,209,0,1,10,1,0,9,0,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,0,2,8,0,0,8,0,3
IGHV3-23*04,IGHD2-2*02,IGHJ4*02_F,57,221,0,7,2,4,0,7,4,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ4*02_F,57,221,0,0,11,1,0,4,6,1
IGHV3-h*02,IGHD3-9*01,IGHJ4*02_F,45,206,0,6,8,0,0,0,0,1
IGHV3-33*02,IGHD2-2*02,IGHJ6*03_F,72,236,1,5,2,5,0,9,2,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ4*02_F,57,221,0,4,1,0,0,1,12,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,57,221,0,8,2,1,0,5,4,1
IGHV3-NL1*01,IGHD5-5*01,IGHJ6*03_F,57,221,4,2,4,10,0,7,7,1
IGHV3-20*91,IGHD6-19*01,IGHJ4*02_F,57,221,1,0,2,5,0,11,5,3
IGHV3-66*04,IGHD6-6*01,IGHJ4*02_F,45,206,0,7,3,0,0,7,2,1
IGHV3-23*04,IGHD2-2*03,IGHJ1*01_F,57,221,5,5,8,0,0,12,0,1
IGHV3-23*04,IGHD2-2*03,IGHJ5*02_F,57,221,1,10,6,0,0,10,2,1
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,221,0,6,8,4,0,13,3,1
IGHV3-NL1*01,IGHD2-15*01,IGHJ4*02_F,57,221,2,2,7,1,0,10,0,2
IGHV3-73*02,IGHD3-10*01,IGHJ4*02_F,51,221,2,4,12,0,0,10,0,1
IGHV1-46*02,IGHD3-3*01,IGHJ6*03_F,57,221,3,5,10,3,0,1,3,1
IGHV1-69*13,IGHD5-12*01,IGHJ3*02_F,57,221,2,5,4,4,0,12,7,1
IGHV3-23*04,IGHD3-9*01,IGHJ6*02_F,57,221,2,6,9,7,0,5,2,2
IGHV3-23*02,IGHD2-8*02,IGHJ4*02_F,36,200,4,4,7,10,0,2,0,1
IGHV1-8*91,IGHD4-4*01,IGHJ6*03_F,57,221,1,0,0,7,0,3,3,1
IGHV3-53*01,IGHD2-15*01,IGHJ4*02_F,57,218,1,7,5,0,0,8,3,1
IGHV3-64*04,IGHD2-15*01,IGHJ4*02_F,57,221,3,10,0,0,0,6,5,1
IGHV3-NL1*01,IGHD3-22*01,IGHJ4*02_F,57,221,1,4,2,0,0,5,0,2
IGHV4-39*01,IGHD3-10*01,IGHJ6*02_F,45,212,0,10,5,21,0,4,3,1
IGHV3-53*01,IGHD3-3*01,IGHJ4*02_F,57,218,1,6,1,8,0,10,4,1
IGHV3-h*02,IGHD2-15*01,IGHJ6*02_F,75,236,0,3,0,2,0,6,0,1
IGHV3-23*04,IGHD3-22*01,IGHJ1*01_F,63,227,0,0,7,2,0,9,0,2
IGHV3-64*04,IGHD4-23*01,IGHJ4*02_F,57,221,1,2,0,0,0,11,2,1
IGHV3-h*01,IGHD7-27*01,IGHJ6*03_F,45,206,2,0,0,19,0,10,2,1
IGHV3-64*04,IGHD3-10*01,IGHJ5*02_F,57,221,1,6,3,4,0,7,2,1
IGHV3-64*04,IGHD2/OR15-2b*01,IGHJ4*02_F,36,200,0,17,6,2,0,2,0,1
IGHV3-64*04,IGHD2-21*01,IGHJ4*02_F,57,221,1,5,2,4,0,3,10,1
IGHV3-64*04,IGHD3-9*01,IGHJ4*02_F,57,221,1,3,7,0,0,2,7,1
IGHV3-64*04,IGHD6-19*01,IGHJ4*02_F,57,221,0,1,1,6,0,10,6,2
IGHV3-NL1*01,IGHD6-13*01,IGHJ5*02_F,57,221,2,5,0,7,0,5,14,1
IGHV3-23*04,IGHD4-17*01,IGHJ6*02_F,57,221,2,2,0,5,0,0,7,1
IGHV3-53*03,IGHD3-9*01,IGHJ5*02_F,57,218,4,5,8,15,0,19,8,1
IGHV3-9*02,IGHD6-19*01,IGHJ4*02_F,57,221,3,4,4,0,0,5,12,1
